ClinVar_ID,Position,distance_to_enhancer,distance_to_ctcf,conservation_score,cadd_score,log_distance_to_enhancer,log_distance_to_ctcf,within_1kb_enhancer,within_5kb_enhancer,label,archcode_ssim,vep_score
VCV000015432,5226936,668,21957,,,6.505784060128229,9.996886816794678,1,1,1,0.8929,0.9
VCV000015361,5226936,668,21957,26.1,26.1,6.505784060128229,9.996886816794678,1,1,1,0.9523,0.9
VCV000015183,5226936,668,21957,26.7,26.7,6.505784060128229,9.996886816794678,1,1,1,0.9523,0.9
VCV000869240,5226937,669,21958,,,6.507277712385012,9.996932357245992,1,1,1,0.894,0.9
VCV000015386,5226939,671,21960,26.7,26.7,6.51025834052315,9.997023431927293,1,1,1,0.9518,0.9
VCV004071470,5226940,672,21961,19.4,19.4,6.511745329644728,9.99706896615766,1,1,1,0.9528,0.87
VCV000015239,5226940,672,21961,24.4,24.4,6.511745329644728,9.99706896615766,1,1,1,0.9528,0.87
VCV000599394,5226941,673,21962,23.1,23.1,6.513230110912307,9.997114498314753,1,1,1,0.9517,0.895
VCV000015554,5226942,674,21963,33.0,33.0,6.51471269087253,9.997160028398763,1,1,1,0.9527,0.9
VCV003777010,5226943,675,21964,,,6.516193076042964,9.99720555640988,1,1,1,0.953,0.895
VCV000869363,5226943,675,21964,,,6.516193076042964,9.99720555640988,1,1,1,0.8772,0.895
VCV000038650,5226943,675,21964,44.0,44.0,6.516193076042964,9.99720555640988,1,1,1,0.8772,0.895
VCV000015161,5226943,675,21964,33.0,33.0,6.516193076042964,9.99720555640988,1,1,1,0.953,0.895
VCV000015459,5226947,679,21968,19.8,19.8,6.522092798170152,9.99738764772918,1,1,1,0.9989,0.5
VCV000869362,5226948,680,21969,,,6.523562306149512,9.997433165378656,1,1,1,0.8942,0.9
VCV000869361,5226948,680,21969,,,6.523562306149512,9.997433165378656,1,1,1,0.8942,0.9
VCV000869360,5226948,680,21969,,,6.523562306149512,9.997433165378656,1,1,1,0.8942,0.9
VCV000015166,5226949,681,21970,,,6.525029657843462,9.99747868095637,1,1,1,0.9529,0.9
VCV000015306,5226952,684,21973,17.1,17.1,6.529418838262226,9.997615215260826,1,1,1,0.9526,0.885
VCV000869359,5226955,687,21976,36.0,36.0,6.5337888379333435,9.997751730926211,1,1,1,0.8774,0.9
VCV000551389,5226957,689,21978,,,6.536691597591305,9.997842731017274,1,1,1,0.8939,0.9
VCV000015300,5226961,693,21982,19.0,19.0,6.542471960506805,9.998024706360116,1,1,1,0.9525,0.9
VCV000015258,5226963,695,21984,26.9,26.9,6.54534966033442,9.99811568161491,1,1,1,0.9518,0.885
VCV000015401,5226970,702,21991,40.0,40.0,6.555356891810665,9.998434029845082,1,1,1,0.8741,0.9
VCV000869358,5226971,703,21992,,,6.556778356158042,9.998479499891696,1,1,1,0.8915,0.15
VCV000811787,5226971,703,21992,19.6,19.6,6.556778356158042,9.998479499891696,1,1,1,0.9989,0.15
VCV000869357,5226972,704,21993,,,6.558197802812269,9.99852496787088,1,1,1,0.8902,0.9
VCV000038646,5226974,706,21995,38.0,38.0,6.561030665896573,9.998615897627705,1,1,1,0.8749,0.9
VCV000015403,5226975,707,21996,38.0,38.0,6.56244409369372,9.998661359405723,1,1,1,0.8739,0.9
VCV000015426,5226976,708,21997,,,6.5638555265321274,9.998706819117062,1,1,1,0.8909,0.9
VCV000869320,5226977,709,21998,,,6.565264970035361,9.998752276761909,1,1,1,0.895,0.9
VCV000869233,5226977,709,21998,,,6.565264970035361,9.998752276761909,1,1,1,0.895,0.9
VCV004074264,5226979,711,22000,,,6.568077911411976,9.99884318585288,1,1,1,0.8922,0.9
VCV000015423,5226986,718,22007,,,6.577861357721047,9.99916130260441,1,1,1,0.8917,0.9
VCV000439154,5226988,720,22009,,,6.580639137284949,9.999252174520507,1,1,1,0.8919,0.9
VCV000869281,5226989,721,22010,,,6.582025138892826,9.999297607382104,1,1,1,0.8926,0.9
VCV000869352,5226991,723,22012,,,6.584791392385716,9.99938846691333,1,1,1,0.8934,0.9
VCV000036308,5226994,726,22015,,,6.588926477533519,9.99952474073307,1,1,1,0.8925,0.9
VCV000869300,5226997,729,22018,,,6.593044534142437,9.999660995984785,1,1,1,0.8948,0.895
VCV000015281,5226997,729,22018,21.6,21.6,6.593044534142437,9.999660995984785,1,1,1,0.9531,0.895
VCV000869255,5226998,730,22019,,,6.594413459749778,9.999706410276671,1,1,1,0.8755,0.9
VCV000015247,5226998,730,22019,,,6.594413459749778,9.999706410276671,1,1,1,0.9523,0.9
VCV000869271,5227000,732,22021,37.0,37.0,6.597145701886651,9.999797232673536,1,1,1,0.8746,0.9
VCV003766686,5227001,733,22022,,,6.598509028614515,9.99984264077889,1,1,1,0.8927,0.6
VCV000446738,5227002,734,22023,,,6.5998704992128365,9.999888046822443,1,1,1,0.9518,0.9
VCV000446735,5227002,734,22023,,,6.5998704992128365,9.999888046822443,1,1,1,0.9518,0.9
VCV000036301,5227002,734,22023,,,6.5998704992128365,9.999888046822443,1,1,1,0.9518,0.9
VCV000015333,5227002,734,22023,14.4,14.4,6.5998704992128365,9.999888046822443,1,1,1,0.9518,0.9
VCV002573434,5227003,735,22024,,,6.601230118728877,9.999933450804381,1,1,1,0.8767,0.895
VCV000869230,5227003,735,22024,36.0,36.0,6.601230118728877,9.999933450804381,1,1,1,0.8767,0.895
VCV000015126,5227003,735,22024,20.0,20.0,6.601230118728877,9.999933450804381,1,1,1,0.9527,0.895
VCV000869324,5227005,737,22026,,,6.6039438246004725,10.000024252584158,1,1,1,0.8941,0.9
VCV000869239,5227006,738,22027,,,6.6052979209482015,10.000069650382372,1,1,1,0.8746,0.9
VCV000869293,5227010,742,22031,,,6.610696044717759,10.000251220968437,1,1,1,0.8918,0.9
VCV000015508,5227018,750,22039,,,6.621405651764134,10.00061426326685,1,1,1,0.8955,0.9
VCV000869316,5227019,751,22040,23.1,23.1,6.62273632394984,10.000659634288388,1,1,1,0.9531,0.85
VCV000869315,5227019,751,22040,22.9,22.9,6.62273632394984,10.000659634288388,1,1,1,0.9531,0.85
VCV000015519,5227019,751,22040,23.5,23.5,6.62273632394984,10.000659634288388,1,1,1,0.9531,0.85
VCV000495986,5227020,752,22041,23.3,23.3,6.6240652277998935,10.000705003251488,1,1,1,0.9525,0.85
VCV000036310,5227020,752,22041,22.6,22.6,6.6240652277998935,10.000705003251488,1,1,1,0.9525,0.85
VCV000015434,5227020,752,22041,23.7,23.7,6.6240652277998935,10.000705003251488,1,1,1,0.9525,0.85
VCV000869231,5227021,753,22042,22.9,22.9,6.625392368007956,10.000750370156338,1,1,1,0.952,0.85
VCV000439140,5227021,753,22042,22.4,22.4,6.625392368007956,10.000750370156338,1,1,1,0.952,0.85
VCV000393704,5227039,771,22060,21.0,21.0,6.648984550024776,10.001566622695764,1,1,1,0.9806,0.5
VCV000393702,5227050,782,22071,18.0,18.0,6.663132695990803,10.002065115897121,1,1,1,0.9798,0.3
VCV000036292,5227071,803,22092,16.3,16.3,6.6895992691789665,10.003016095251029,1,1,1,0.9799,0.2
VCV000869256,5227096,828,22117,12.1,12.1,6.720220155135295,10.004147035635306,1,1,1,0.9672,0.2
VCV000869286,5227097,829,22118,17.4,17.4,6.721425700790643,10.00419224665776,1,1,1,0.968,0.2
VCV000869287,5227098,830,22119,17.5,17.5,6.7226297948554485,10.004237455636272,1,1,1,0.9681,0.2
VCV000015471,5227099,831,22120,15.1,15.1,6.723832440821209,10.004282662571022,1,1,1,0.9276,0.2
VCV000015470,5227099,831,22120,15.2,15.2,6.723832440821209,10.004282662571022,1,1,1,0.9276,0.2
VCV000869288,5227100,832,22121,19.3,19.3,6.725033642166843,10.0043278674622,1,1,1,0.929,0.2
VCV000015469,5227100,832,22121,19.6,19.6,6.725033642166843,10.0043278674622,1,1,1,0.968,0.2
VCV000869290,5227101,833,22122,18.9,18.9,6.726233402358747,10.004373070309986,1,1,1,0.9282,0.2
VCV000869289,5227101,833,22122,18.6,18.6,6.726233402358747,10.004373070309986,1,1,1,0.9676,0.2
VCV000015467,5227101,833,22122,18.6,18.6,6.726233402358747,10.004373070309986,1,1,1,0.9676,0.2
VCV000015466,5227102,834,22123,19.2,19.2,6.727431724850855,10.004418271114568,1,1,1,0.9287,0.2
VCV000801184,5227142,874,22163,15.7,15.7,6.774223886357614,10.00622462998724,1,1,1,0.9279,0.2
VCV000869327,5227147,879,22168,14.5,14.5,6.779921907472252,10.006450195593953,1,1,1,0.9686,0.2
VCV002506212,5227157,889,22178,12.1,12.1,6.7912214627261855,10.00690117422521,1,1,1,0.9277,0.2
VCV000036284,5227157,889,22178,11.7,11.7,6.7912214627261855,10.00690117422521,1,1,1,0.9277,0.2
VCV000015465,5227157,889,22178,12.3,12.3,6.7912214627261855,10.00690117422521,1,1,1,0.9673,0.2
VCV000036287,5227158,890,22179,16.1,16.1,6.792344427470809,10.006946260904359,1,1,1,0.9289,0.2
VCV000036285,5227158,890,22179,15.6,15.6,6.792344427470809,10.006946260904359,1,1,1,0.9289,0.2
VCV000015464,5227158,890,22179,15.6,15.6,6.792344427470809,10.006946260904359,1,1,1,0.9289,0.2
VCV000393701,5227159,891,22180,18.3,18.3,6.79346613258001,10.006991345550789,1,1,1,0.9297,0.2
VCV000015460,5227159,891,22180,18.6,18.6,6.79346613258001,10.006991345550789,1,1,1,0.9682,0.2
VCV000015514,5227161,893,22182,16.9,16.9,6.795705775173514,10.007081508746234,1,1,1,0.9292,0.2
VCV000015462,5227163,895,22184,15.7,15.7,6.79794041297493,10.00717166381301,1,1,1,0.929,0.2
VCV000015586,5227172,904,22193,13.4,13.4,6.807934943699926,10.00757726106051,1,1,1,0.9284,0.2
VCV000015461,5227172,904,22193,14.1,14.1,6.807934943699926,10.00757726106051,1,1,1,0.9677,0.2
VCV004771045,5226842,574,21863,3.5,3.5,6.354370040797351,9.992596727607904,1,1,0,1.0,0.1
VCV004766669,5226324,56,21345,0.8,0.8,4.04305126783455,9.96861964747391,1,1,0,1.0,0.15
VCV004753219,5225697,571,20718,11.1,11.1,6.349138991379798,9.938806432660483,1,1,0,1.0,0.05
VCV004735712,5226336,68,21357,0.9,0.9,4.23410650459726,9.969181655731491,1,1,0,1.0,0.15
VCV004734723,5226146,122,21167,1.8,1.8,4.812184355372417,9.960245886354738,1,1,0,1.0,0.1
VCV004734636,5226520,252,21541,0.4,0.4,5.53338948872752,9.977759796910716,1,1,0,1.0,0.15
VCV004729396,5226288,20,21309,3.5,3.5,3.044522437723423,9.966931725092662,1,1,0,1.0,0.15
VCV004692970,5226005,263,21026,0.5,0.5,5.575949103146316,9.953562605168434,1,1,0,1.0,0.1
VCV004685642,5226659,391,21680,24.2,24.2,5.971261839790462,9.98419157995109,1,1,0,1.0,0.9
VCV004535916,5225873,395,20894,0.8,0.8,5.981414211254481,9.947265174882016,1,1,0,1.0,0.1
VCV004525835,5227013,745,22034,0.8,0.8,6.61472560020376,10.000387377276088,1,1,0,1.0,0.85
VCV004280318,5226265,3,21286,,,1.3862943611198906,9.965851836732678,1,1,0,1.0,0.15
VCV003910010,5226703,435,21724,7.0,7.0,6.077642243349034,9.986218950133592,1,1,0,1.0,0.05
VCV003910009,5225877,391,20898,0.1,0.1,5.971261839790462,9.947456589918252,1,1,0,1.0,0.1
VCV003910008,5226469,201,21490,0.1,0.1,5.308267697401205,9.975389521825207,1,1,0,1.0,0.15
VCV003701912,5226506,238,21527,1.4,1.4,5.476463551931511,9.977109692406742,1,1,0,1.0,0.15
VCV003693356,5226098,170,21119,2.1,2.1,5.14166355650266,9.957975737820197,1,1,0,1.0,0.1
VCV003672948,5226170,98,21191,2.9,2.9,4.59511985013459,9.961379030951905,1,1,0,1.0,0.1
VCV003668877,5226220,48,21241,,,3.8918202981106265,9.963735632881486,1,1,0,1.0,0.1
VCV003645123,5226706,438,21727,9.4,9.4,6.0844994130751715,9.986357030358423,1,1,0,1.0,0.05
VCV003642561,5226564,296,21585,0.5,0.5,5.6937321388027,9.97980023538529,1,1,0,1.0,0.895
VCV003639424,5225919,349,20940,2.7,2.7,5.857933154483459,9.949464238776152,1,1,0,1.0,0.1
VCV003638824,5226280,12,21301,1.6,1.6,2.5649493574615367,9.966556244003112,1,1,0,1.0,0.15
VCV003638340,5225862,406,20883,3.5,3.5,6.008813185442595,9.946738594530443,1,1,0,1.0,0.1
VCV003638132,5225906,362,20927,1.6,1.6,5.8944028342648505,9.948843254256925,1,1,0,1.0,0.1
VCV003638091,5226207,61,21228,1.0,1.0,4.127134385045092,9.963123450432002,1,1,0,1.0,0.1
VCV003637486,5225823,445,20844,4.2,4.2,6.100318952020064,9.944869390314897,1,1,0,1.0,0.1
VCV003633170,5226249,19,21270,5.7,5.7,2.995732273553991,9.96509992166365,1,1,0,1.0,0.1
VCV003633051,5226374,106,21395,0.5,0.5,4.672828834461906,9.970959267651141,1,1,0,1.0,0.15
VCV003627289,5226685,417,21706,0.1,0.1,6.035481432524756,9.985390068155763,1,1,0,1.0,0.05
VCV003624952,5226151,117,21172,2.4,2.4,4.770684624465665,9.960482064055936,1,1,0,1.0,0.1
VCV003051702,5227091,823,22112,8.1,8.1,6.714170529909472,10.003920949857399,1,1,0,0.9999,0.2
VCV003019267,5225985,283,21006,4.8,4.8,5.648974238161206,9.95261099449568,1,1,0,1.0,0.1
VCV002962205,5226208,60,21229,0.7,0.7,4.110873864173311,9.963170554697301,1,1,0,1.0,0.1
VCV002959873,5226216,52,21237,4.5,4.5,3.970291913552122,9.963547308963792,1,1,0,1.0,0.1
VCV002955337,5226138,130,21159,1.6,1.6,4.875197323201151,9.959867885972235,1,1,0,1.0,0.1
VCV002901561,5226721,453,21742,6.1,6.1,6.118097198041348,9.987047145635058,1,1,0,1.0,0.9
VCV002878634,5226854,586,21875,0.9,0.9,6.375024819828097,9.993145424466663,1,1,0,1.0,0.1
VCV002877828,5225777,491,20798,3.9,3.9,6.198478716492308,9.9426601876106,1,1,0,1.0,0.1
VCV002877762,5226410,142,21431,6.5,6.5,4.962844630259907,9.972640411224445,1,1,0,1.0,0.15
VCV002877740,5225917,351,20938,0.6,0.6,5.863631175598097,9.949368727792317,1,1,0,1.0,0.1
VCV002877060,5226905,637,21926,2.9,2.9,6.45833828334479,9.9954740331485,1,1,0,1.0,0.1
VCV002876382,5226083,185,21104,4.5,4.5,5.225746673713202,9.9572652582166,1,1,0,1.0,0.1
VCV002876055,5226171,97,21192,0.3,0.3,4.584967478670572,9.961426217456575,1,1,0,1.0,0.1
VCV002875907,5225759,509,20780,,,6.234410725718371,9.941794386690715,1,1,0,1.0,0.1
VCV002875229,5226472,204,21493,0.4,0.4,5.3230099791384085,9.9755291054011,1,1,0,1.0,0.15
VCV002873194,5225703,565,20724,5.3,5.3,6.338594078203183,9.939095980003495,1,1,0,1.0,0.05
VCV002873169,5226338,70,21359,0.4,0.4,4.2626798770413155,9.969275293074132,1,1,0,1.0,0.15
VCV002867760,5226938,670,21959,13.0,13.0,6.508769136971682,9.996977895623466,1,1,0,1.0,0.5
VCV002862763,5226166,102,21187,4.0,4.0,4.634728988229636,9.961190262664417,1,1,0,1.0,0.1
VCV002862258,5226010,258,21031,2.7,2.7,5.556828061699537,9.953800366409718,1,1,0,1.0,0.1
VCV002862032,5225854,414,20875,1.8,1.8,6.028278520230698,9.946355452763305,1,1,0,1.0,0.1
VCV002860725,5226625,357,21646,3.5,3.5,5.8805329864007,9.982622155699856,1,1,0,1.0,0.05
VCV002860247,5226304,36,21325,6.1,6.1,3.6109179126442243,9.967682264578125,1,1,0,1.0,0.15
VCV002857197,5226191,77,21212,,,4.356708826689592,9.96236948027235,1,1,0,1.0,0.1
VCV002856346,5226332,64,21353,1.2,1.2,4.174387269895637,9.968994354738248,1,1,0,1.0,0.15
VCV002856031,5226326,58,21347,1.1,1.1,4.07753744390572,9.968713337453835,1,1,0,1.0,0.15
VCV002854276,5226697,429,21718,11.1,11.1,6.063785208687608,9.98594273247232,1,1,0,1.0,0.05
VCV002852384,5226034,234,21055,0.9,0.9,5.459585514144159,9.954940834125043,1,1,0,1.0,0.1
VCV002851326,5226253,15,21274,1.6,1.6,2.772588722239781,9.965287953441575,1,1,0,1.0,0.1
VCV002849928,5226040,228,21061,,,5.43372200355424,9.955225747940542,1,1,0,1.0,0.1
VCV002849566,5225740,528,20761,4.5,4.5,6.270988431858299,9.94087967175319,1,1,0,1.0,0.1
VCV002848166,5226283,15,21304,0.7,0.7,2.772588722239781,9.966697065934012,1,1,0,1.0,0.15
VCV002847814,5226358,90,21379,0.5,0.5,4.51085950651685,9.970211184579036,1,1,0,1.0,0.15
VCV002847426,5226315,47,21336,0.9,0.9,3.871201010907891,9.968197933904884,1,1,0,1.0,0.15
VCV002846440,5226281,13,21302,3.9,3.9,2.6390573296152584,9.966603186850204,1,1,0,1.0,0.15
VCV002845945,5226221,47,21242,4.8,4.8,3.871201010907891,9.963782708319883,1,1,0,1.0,0.1
VCV002845297,5226371,103,21392,,,4.6443908991413725,9.970819044696412,1,1,0,1.0,0.1
VCV002845263,5226487,219,21508,3.4,3.4,5.393627546352362,9.976226731176434,1,1,0,1.0,0.15
VCV002844469,5225688,580,20709,4.9,4.9,6.364750756851911,9.93837195438963,1,1,0,1.0,0.05
VCV002842293,5226481,213,21502,6.4,6.4,5.365976015021851,9.975947739265388,1,1,0,1.0,0.15
VCV002837304,5225786,482,20807,2.2,2.2,6.180016653652572,9.943092807128487,1,1,0,1.0,0.1
VCV002833520,5225974,294,20995,2.4,2.4,5.68697535633982,9.95208722237219,1,1,0,1.0,0.1
VCV002832734,5225870,398,20891,0.7,0.7,5.988961416889864,9.94712158955619,1,1,0,1.0,0.1
VCV002831713,5225845,423,20866,1.1,1.1,6.049733455231958,9.945924242733385,1,1,0,1.0,0.1
VCV002831007,5226351,83,21372,1.2,1.2,4.430816798843313,9.96988372217581,1,1,0,1.0,0.15
VCV002830937,5225848,420,20869,2.7,2.7,6.042632833682381,9.946068000071246,1,1,0,1.0,0.1
VCV002830691,5225844,424,20865,0.4,0.4,6.052089168924417,9.945876319027915,1,1,0,1.0,0.1
VCV002830420,5225843,425,20864,0.9,0.9,6.054439346269371,9.945828393025653,1,1,0,1.0,0.1
VCV002829919,5226453,185,21474,0.9,0.9,5.225746673713202,9.974644746852457,1,1,0,1.0,0.15
VCV002829888,5226252,16,21273,3.1,3.1,2.833213344056216,9.96524094881161,1,1,0,1.0,0.1
VCV002829859,5226205,63,21226,1.5,1.5,4.1588830833596715,9.963029235244443,1,1,0,1.0,0.1
VCV002829137,5226386,118,21407,,,4.77912349311153,9.971519962927955,1,1,0,1.0,0.1
VCV002828894,5226627,359,21648,8.1,8.1,5.886104031450156,9.98271454298743,1,1,0,1.0,0.05
VCV002828044,5226185,83,21206,2.9,2.9,4.430816798843313,9.962086594839064,1,1,0,1.0,0.1
VCV002827665,5226468,200,21489,0.4,0.4,5.303304908059076,9.975342989636555,1,1,0,1.0,0.15
VCV002826978,5226118,150,21139,0.5,0.5,5.017279836814924,9.958922259424229,1,1,0,1.0,0.1
VCV002826637,5225750,518,20771,0.2,0.2,6.251903883165888,9.94136120496421,1,1,0,1.0,0.1
VCV002825403,5226807,539,21828,,,6.29156913955832,9.990994639974362,1,1,0,1.0,0.1
VCV002825370,5226826,558,21847,0.2,0.2,6.326149473155099,9.99186466315354,1,1,0,1.0,0.1
VCV002825157,5225868,400,20889,0.5,0.5,5.993961427306569,9.947025854550612,1,1,0,1.0,0.1
VCV002824341,5225881,387,20902,3.0,3.0,5.961005339623274,9.947647968321782,1,1,0,1.0,0.1
VCV002824238,5226313,45,21334,0.9,0.9,3.828641396489095,9.9681041956221,1,1,0,1.0,0.15
VCV002823430,5226554,286,21575,0.0,0.0,5.659482215759621,9.979336864819565,1,1,0,1.0,0.15
VCV002823108,5226120,148,21141,0.2,0.2,5.003946305945459,9.959016862328609,1,1,0,1.0,0.1
VCV002821618,5226745,477,21766,9.4,9.4,6.169610732491456,9.988150340414837,1,1,0,1.0,0.59
VCV002821601,5226403,135,21424,0.9,0.9,4.912654885736052,9.97231374346598,1,1,0,1.0,0.15
VCV002819196,5226254,14,21275,4.0,4.0,2.70805020110221,9.965334955862208,1,1,0,1.0,0.1
VCV002818822,5226503,235,21524,2.0,2.0,5.4638318050256105,9.976970329295932,1,1,0,1.0,0.15
VCV002818393,5226115,153,21136,0.5,0.5,5.0369526024136295,9.958780338284837,1,1,0,1.0,0.1
VCV002817876,5226168,100,21189,1.7,1.7,4.61512051684126,9.961284651262345,1,1,0,1.0,0.1
VCV002817790,5226433,165,21454,3.2,3.2,5.111987788356544,9.973712997425626,1,1,0,1.0,0.15
VCV002817359,5226827,559,21848,1.3,1.3,6.327936783729195,9.991910432886025,1,1,0,1.0,0.1
VCV002816740,5226437,169,21458,1.6,1.6,5.135798437050262,9.973899416776494,1,1,0,1.0,0.15
VCV002816145,5226835,567,21856,6.2,6.2,6.342121418721152,9.992276515350188,1,1,0,1.0,0.1
VCV002815819,5225776,492,20797,0.5,0.5,6.20050917404269,9.942612107220178,1,1,0,1.0,0.1
VCV002813160,5226072,196,21093,0.0,0.0,5.2832037287379885,9.95674391883656,1,1,0,1.0,0.1
VCV002812701,5226808,540,21829,0.8,0.8,6.293419278846481,9.99104044954399,1,1,0,1.0,0.1
VCV002812292,5226162,106,21183,3.3,3.3,4.672828834461906,9.961001458736735,1,1,0,1.0,0.1
VCV002811923,5226861,593,21882,0.3,0.3,6.386879319362645,9.99346535865436,1,1,0,1.0,0.1
VCV002811839,5226230,38,21251,2.4,2.4,3.6635616461296463,9.964206287570834,1,1,0,1.0,0.1
VCV002811518,5225753,515,20774,3.7,3.7,6.246106765481563,9.94150561972365,1,1,0,1.0,0.1
VCV002810430,5226408,140,21429,3.1,3.1,4.948759890378168,9.972547088467623,1,1,0,1.0,0.15
VCV002808627,5226694,426,21715,6.8,6.8,6.056784013228625,9.985804595025341,1,1,0,1.0,0.05
VCV002808336,5226414,146,21435,0.9,0.9,4.990432586778736,9.972827030614742,1,1,0,1.0,0.15
VCV002808048,5226470,202,21491,0.4,0.4,5.313205979041787,9.975436051848712,1,1,0,1.0,0.15
VCV002807382,5226308,40,21329,1.2,1.2,3.713572066704308,9.967869811465397,1,1,0,1.0,0.15
VCV002806723,5226307,39,21328,0.8,0.8,3.6888794541139363,9.967822928041022,1,1,0,1.0,0.15
VCV002804976,5226363,95,21384,0.3,0.3,4.564348191467836,9.970445020661009,1,1,0,1.0,0.15
VCV002803917,5225798,470,20819,0.8,0.8,6.154858094016418,9.94366934216896,1,1,0,1.0,0.1
VCV002802367,5226087,181,21108,0.9,0.9,5.204006687076795,9.95745476880607,1,1,0,1.0,0.1
VCV002802003,5225853,415,20874,0.2,0.2,6.030685260261263,9.946307549719057,1,1,0,1.0,0.1
VCV002798327,5226404,136,21425,0.6,0.6,4.919980925828125,9.972360416822504,1,1,0,1.0,0.15
VCV002795099,5226420,152,21441,1.3,1.3,5.030437921392435,9.973106894416185,1,1,0,1.0,0.15
VCV002793504,5226411,143,21432,0.5,0.5,4.969813299576001,9.972687069337132,1,1,0,1.0,0.15
VCV002791980,5226840,572,21861,0.6,0.6,6.35088571671474,9.992505248853782,1,1,0,1.0,0.1
VCV002790939,5226439,171,21460,1.6,1.6,5.147494476813453,9.973992613421482,1,1,0,1.0,0.15
VCV002790355,5226356,88,21377,0.3,0.3,4.48863636973214,9.97011763483389,1,1,0,1.0,0.15
VCV002789491,5226206,62,21227,1.9,1.9,4.143134726391533,9.963076343947785,1,1,0,1.0,0.1
VCV002789444,5225735,533,20756,2.6,2.6,6.280395838960195,9.94063881816692,1,1,0,1.0,0.5
VCV002789363,5226091,177,21112,1.0,1.0,5.181783550292085,9.957644243488083,1,1,0,1.0,0.1
VCV002787390,5226488,220,21509,1.2,1.2,5.3981627015177525,9.976273222261776,1,1,0,1.0,0.15
VCV002783192,5226804,536,21825,5.9,5.9,6.285998094508865,9.990857198673035,1,1,0,1.0,0.5
VCV002782584,5226293,25,21314,4.4,4.4,3.258096538021482,9.96716632919931,1,1,0,1.0,0.15
VCV002782072,5226226,42,21247,1.5,1.5,3.7612001156935624,9.96401805227616,1,1,0,1.0,0.1
VCV002778654,5226559,291,21580,2.1,2.1,5.676753802268282,9.979568576941464,1,1,0,1.0,0.05
VCV002778374,5226171,97,21192,0.4,0.4,4.584967478670572,9.961426217456575,1,1,0,1.0,0.1
VCV002775957,5225908,360,20929,2.6,2.6,5.8888779583328805,9.948938815440046,1,1,0,1.0,0.1
VCV002771547,5226407,139,21428,0.2,0.2,4.941642422609304,9.972500423823082,1,1,0,1.0,0.15
VCV002771206,5226610,342,21631,10.9,10.9,5.8377304471659395,9.98192897884269,1,1,0,1.0,0.05
VCV002770110,5226679,411,21700,8.8,8.8,6.021023349349527,9.985113621416073,1,1,0,1.0,0.05
VCV002769315,5226473,205,21494,0.4,0.4,5.327876168789581,9.975575628930383,1,1,0,1.0,0.15
VCV002767167,5226455,187,21476,0.9,0.9,5.236441962829949,9.974737874064294,1,1,0,1.0,0.15
VCV002767052,5225896,372,20917,5.8,5.8,5.921578419643816,9.948365311314214,1,1,0,1.0,0.1
VCV002765807,5226339,71,21360,0.2,0.2,4.276666119016055,9.969322108457675,1,1,0,1.0,0.15
VCV002763854,5226376,108,21397,,,4.6913478822291435,9.971052738698551,1,1,0,1.0,0.1
VCV002762750,5226818,550,21839,4.3,4.3,6.311734809152915,9.991498429858842,1,1,0,1.0,0.1
VCV002760823,5226116,152,21137,1.6,1.6,5.030437921392435,9.958827647569292,1,1,0,1.0,0.1
VCV002760286,5226355,87,21376,0.2,0.2,4.477336814478207,9.97007085667928,1,1,0,1.0,0.15
VCV002757925,5226413,145,21434,4.6,4.6,4.983606621708336,9.972780379032077,1,1,0,1.0,0.15
VCV002757119,5226137,131,21158,0.8,0.8,4.882801922586371,9.959820625876288,1,1,0,1.0,0.1
VCV002755775,5226074,194,21095,0.3,0.3,5.272999558563747,9.956838728033123,1,1,0,1.0,0.1
VCV002754240,5225948,320,20969,2.3,2.3,5.771441123130016,9.950848123895966,1,1,0,1.0,0.1
VCV002752834,5225694,574,20715,2.7,2.7,6.354370040797351,9.938661627543782,1,1,0,1.0,0.05
VCV002752305,5226514,246,21535,1.6,1.6,5.5093883366279774,9.977481232444454,1,1,0,1.0,0.15
VCV002751019,5226558,290,21579,3.9,3.9,5.673323267171493,9.979522238812125,1,1,0,1.0,0.85
VCV002747568,5226061,207,21082,0.4,0.4,5.337538079701318,9.956222307519994,1,1,0,1.0,0.1
VCV002747182,5225739,529,20760,1.3,1.3,6.272877006546167,9.940831505676549,1,1,0,1.0,0.1
VCV002744953,5225995,273,21016,1.9,1.9,5.6131281063880705,9.953086913027413,1,1,0,1.0,0.1
VCV002743033,5226655,387,21676,3.8,3.8,5.961005339623274,9.984007069594924,1,1,0,1.0,0.05
VCV002742971,5225750,518,20771,0.2,0.2,6.251903883165888,9.94136120496421,1,1,0,1.0,0.1
VCV002742787,5225939,329,20960,4.8,4.8,5.799092654460526,9.950418847220561,1,1,0,1.0,0.1
VCV002740244,5225917,351,20938,0.5,0.5,5.863631175598097,9.949368727792317,1,1,0,1.0,0.1
VCV002736477,5226373,105,21394,0.4,0.4,4.663439094112067,9.970912528850917,1,1,0,1.0,0.15
VCV002736437,5226304,36,21325,7.0,7.0,3.6109179126442243,9.967682264578125,1,1,0,1.0,0.15
VCV002733487,5226202,66,21223,1.3,1.3,4.204692619390966,9.962887895817575,1,1,0,1.0,0.1
VCV002731683,5226239,29,21260,0.9,0.9,3.4011973816621555,9.964629687478366,1,1,0,1.0,0.1
VCV002727125,5226887,619,21908,3.0,3.0,6.429719478039138,9.99465279028822,1,1,0,1.0,0.1
